Comment,S10 D10 X2(2) 75% cover_61
Site, X, Y, Vertex
X0,5.1,6.6,0
X1,2.3,2.6,1
Supplier, X, Y, Vertex
S0,2.3,2.6,2
S1,4.2,5.9,3
S2,5.3,8.0,4
S3,1.2,2.9,5
S4,8.4,6.1,6
S5,5.7,5.3,7
S6,3.7,3.2,8
S7,2.9,8.2,9
S8,3.4,6.0,10
S9,4.4,1.9,11
Destination, X, Y, Vertex
D0,5.4,6.7,12
D1,4.8,8.4,13
D2,6.5,5.7,14
D3,1.9,1.9,15
D4,5.9,6.9,16
D5,3.7,2.5,17
D6,1.8,3.5,18
D7,4.1,5.4,19
D8,2.0,1.9,20
D9,0.05,2.9,21
Order, To, Qty, ect, ldt,
S7,D9,2,0,900,0
S4,D2,1,0,900,1
S6,D1,3,0,900,2
S9,D8,3,0,900,3
S4,X1,3,0,900,4
S5,D5,2,0,900,5
S3,D6,1,0,900,6
S8,D6,2,0,900,7
S3,D4,1,0,900,8
S0,X0,2,0,900,9
S5,D8,1,0,900,10
S2,D7,2,0,900,11
S0,D9,1,0,900,12
S8,D7,3,0,900,13
S1,D4,2,0,900,14
S7,D3,3,0,900,15
S4,D6,2,0,900,16
S5,X1,3,0,900,17
S2,D0,2,0,900,18
S9,D6,3,0,900,19
S6,D2,3,0,900,20
S4,D1,1,0,900,21
S5,D7,2,0,900,22
S8,D8,3,0,900,23
S7,D5,3,0,900,24
S8,X0,2,0,900,25
S6,D9,3,0,900,26
S1,D7,1,0,900,27
S9,D4,3,0,900,28
S2,D3,2,0,900,29
S0,D0,3,0,900,30
S1,X0,3,0,900,31
S8,D5,2,0,900,32
S1,D8,3,0,900,33
S9,D2,3,0,900,34
S5,D0,2,0,900,35
S3,D3,3,0,900,36
S0,D6,3,0,900,37
S8,D3,2,0,900,38
S6,D4,2,0,900,39
S4,D7,3,0,900,40
S9,D9,2,0,900,41
S2,X0,1,0,900,42
S9,X0,2,0,900,43
S7,D7,1,0,900,44
S1,D1,3,0,900,45
S4,D3,3,0,900,46
S9,D5,2,0,900,47
S7,D1,1,0,900,48
S2,D2,3,0,900,49
S5,X0,2,0,900,50
S4,D5,2,0,900,51
S6,D8,3,0,900,52
S5,D2,3,0,900,53
S3,X1,3,0,900,54
S7,D0,3,0,900,55
S1,X1,2,0,900,56
S2,D6,3,0,900,57
S1,D2,1,0,900,58
S3,D0,1,0,900,59
S0,D3,2,0,900,60
Exit,
