qsd.s,qsd.d,qty,ect,ldt
10,21,2,136,381
9,20,2,14,296
15,32,3,448,718
17,19,1,290,642
15,31,2,82,429
5,22,3,408,698
4,24,3,47,272
11,22,2,408,698
12,26,3,659,961
14,22,3,408,698
3,19,2,290,642
11,1,1,188,410
7,25,3,347,632
8,24,2,47,272
7,22,2,408,698
9,26,3,659,961
7,0,3,373,660
12,0,3,373,660
10,22,3,408,698
6,31,2,82,429
7,1,1,188,410
5,24,2,47,272
12,20,1,14,296
14,1,2,188,410
10,29,3,374,714
16,26,1,659,961
4,1,3,188,410
12,19,3,290,642
8,32,1,448,718
13,21,3,136,381
9,27,3,643,960
15,23,2,438,725
14,25,2,347,632
10,1,3,188,410
4,0,1,373,660
16,0,2,373,660
5,23,1,438,725
4,25,2,347,632
7,32,1,448,718
8,19,1,290,642
10,32,2,448,718
15,28,1,312,532
16,30,3,456,721
6,22,1,408,698
5,28,3,312,532
11,21,2,136,381
12,23,3,438,725
8,28,3,312,532
14,21,2,136,381
17,31,1,82,429
16,20,3,14,296
11,18,1,130,380
7,29,2,374,714
6,26,1,659,961
11,26,1,659,961
8,18,3,130,380
9,23,2,438,725
10,24,1,47,272
16,31,3,82,429
3,1,1,188,410
6,25,2,347,632
11,25,2,347,632
7,18,1,130,380
5,18,3,130,380
6,0,3,373,660
13,26,2,659,961
15,21,3,136,381
14,18,2,130,380
15,27,2,643,960
3,31,3,82,429
13,22,1,408,698
14,29,3,374,714
10,18,3,130,380
3,30,3,456,721
4,28,2,312,532
3,20,2,14,296
5,19,2,290,642
8,20,3,14,296
7,28,3,312,532
9,30,2,456,721
13,30,1,456,721
3,0,3,373,660
16,29,1,374,714
15,0,3,373,660
3,21,2,136,381
6,27,2,643,960
14,32,3,448,718
10,25,3,347,632
17,27,2,643,960
16,24,3,47,272
5,25,3,347,632
12,25,1,347,632
8,1,2,188,410
13,32,1,448,718
9,31,1,82,429
17,24,1,47,272
3,18,3,130,380
4,29,1,374,714
11,29,1,374,714
13,23,2,438,725
