Comment,S15 D15 X3(2) 75% cover_100
Site, X, Y, Vertex
X0,8.2,8.3,0
X1,5.9,2.5,1
X2,2.1,5.6,2
Supplier, X, Y, Vertex
S0,6.2,3.2,3
S1,1.9,5.0,4
S2,7.9,3.6,5
S3,2.4,8.3,6
S4,9.4,2.3,7
S5,1.8,5.1,8
S6,6.6,0.5,9
S7,4.4,4.4,10
S8,2.9,0.05,11
S9,7.0,1.5,12
S10,4.6,9.95,13
S11,4.3,3.4,14
S12,2.8,4.5,15
S13,4.8,1.6,16
S14,0.1,5.4,17
Destination, X, Y, Vertex
D0,4.7,5.8,18
D1,9.6,8.9,19
D2,8.9,6.8,20
D3,2.3,4.6,21
D4,8.2,3.4,22
D5,3.2,2.6,23
D6,5.0,4.4,24
D7,7.5,3.0,25
D8,4.4,1.9,26
D9,6.7,0.7,27
D10,6.2,3.1,28
D11,0.6,6.2,29
D12,4.9,3.4,30
D13,9.3,9.1,31
D14,8.4,6.9,32
Order, To, Qty, ect, ldt,
S7,D3,2,0,900,0
S6,D2,2,0,900,1
S12,D14,3,0,900,2
S14,D1,1,0,900,3
S12,D13,2,0,900,4
S2,D4,3,0,900,5
S1,D6,3,0,900,6
S8,D4,2,0,900,7
S9,D8,3,0,900,8
S11,D4,3,0,900,9
S0,D1,2,0,900,10
S8,X1,1,0,900,11
S4,D7,3,0,900,12
S5,D6,2,0,900,13
S4,D4,2,0,900,14
S6,D8,3,0,900,15
S4,X0,3,0,900,16
S9,X0,3,0,900,17
S7,D4,3,0,900,18
S3,D13,2,0,900,19
S4,X1,1,0,900,20
S2,D6,2,0,900,21
S9,D2,1,0,900,22
S11,X1,2,0,900,23
S7,D11,3,0,900,24
S13,D8,1,0,900,25
S1,X1,3,0,900,26
S9,D1,3,0,900,27
S5,D14,1,0,900,28
S10,D3,3,0,900,29
S6,D9,3,0,900,30
S12,D5,2,0,900,31
S11,D7,2,0,900,32
S7,X1,3,0,900,33
S1,X0,1,0,900,34
S13,X0,2,0,900,35
S2,D5,1,0,900,36
S1,D7,2,0,900,37
S4,D14,1,0,900,38
S5,D1,1,0,900,39
S7,D14,2,0,900,40
S12,D10,1,0,900,41
S13,D12,3,0,900,42
S3,D4,1,0,900,43
S2,D10,3,0,900,44
S8,D3,2,0,900,45
S9,D5,3,0,900,46
S5,D10,3,0,900,47
S11,D3,2,0,900,48
S14,D13,1,0,900,49
S13,D2,3,0,900,50
S8,D0,1,0,900,51
S4,D11,2,0,900,52
S3,D8,1,0,900,53
S8,D8,1,0,900,54
S5,D0,3,0,900,55
S6,D5,2,0,900,56
S7,D6,1,0,900,57
S13,D13,3,0,900,58
S0,X1,1,0,900,59
S3,D7,2,0,900,60
S8,D7,2,0,900,61
S4,D0,1,0,900,62
S2,D0,3,0,900,63
S3,X0,3,0,900,64
S10,D8,2,0,900,65
S12,D3,3,0,900,66
S11,D0,2,0,900,67
S12,D9,2,0,900,68
S0,D13,3,0,900,69
S10,D4,1,0,900,70
S11,D11,3,0,900,71
S7,D0,3,0,900,72
S0,D12,3,0,900,73
S1,D10,2,0,900,74
S0,D2,2,0,900,75
S2,D1,2,0,900,76
S5,D2,3,0,900,77
S4,D10,3,0,900,78
S6,D12,2,0,900,79
S10,D12,1,0,900,80
S0,X0,3,0,900,81
S13,D11,1,0,900,82
S12,X0,3,0,900,83
S0,D3,2,0,900,84
S3,D9,2,0,900,85
S11,D14,3,0,900,86
S7,D7,3,0,900,87
S14,D9,2,0,900,88
S13,D6,3,0,900,89
S2,D7,3,0,900,90
S9,D7,1,0,900,91
S5,X1,2,0,900,92
S10,D14,1,0,900,93
S6,D13,1,0,900,94
S14,D6,1,0,900,95
S0,D0,3,0,900,96
S1,D11,1,0,900,97
S8,D11,1,0,900,98
S10,D5,2,0,900,99
Exit,
