Comment,S200 D80 X20(10)_1500
Site, X, Y, Vertex
X0,19.3,37.5,0
X1,30.7,16.4,1
X2,6.0,19.2,2
X3,36.7,42.2,3
X4,50.0,9.6,4
X5,12.5,24.7,5
X6,28.3,35.7,6
X7,22.4,9.4,7
X8,42.3,15.9,8
X9,34.2,9.8,9
X10,21.1,19.2,10
X11,31.6,23.1,11
X12,45.4,45.6,12
X13,2.6,32.2,13
X14,39.5,29.8,14
X15,13.5,14.4,15
X16,21.7,30.6,16
X17,23.6,45.7,17
X18,28.1,2.6,18
X19,9.7,38.4,19
Supplier, X, Y, Vertex
S0,22.7,19.9,20
S1,38.9,42.9,21
S2,9.9,18.9,22
S3,29.7,19.6,23
S4,30.1,7.7,24
S5,19.6,10.1,25
S6,17.3,20.7,26
S7,31.7,38.1,27
S8,32.6,12.5,28
S9,37.8,17.8,29
S10,13.0,24.2,30
S11,38.7,26.6,31
S12,0.05,20.0,32
S13,23.2,34.3,33
S14,31.3,37.0,34
S15,14.9,17.2,35
S16,30.0,18.4,36
S17,13.7,24.1,37
S18,35.5,11.2,38
S19,28.6,14.3,39
S20,13.2,20.3,40
S21,24.4,15.1,41
S22,1.4,33.6,42
S23,23.0,18.7,43
S24,37.1,9.4,44
S25,14.3,32.9,45
S26,37.3,42.4,46
S27,40.8,10.4,47
S28,24.0,12.7,48
S29,33.6,8.1,49
S30,27.8,10.7,50
S31,19.0,28.1,51
S32,7.4,12.1,52
S33,26.7,37.6,53
S34,5.4,40.3,54
S35,37.4,12.8,55
S36,39.3,42.0,56
S37,9.5,20.7,57
S38,29.0,0.05,58
S39,13.3,21.7,59
S40,11.7,14.5,60
S41,18.0,29.8,61
S42,17.3,15.0,62
S43,16.3,4.6,63
S44,24.7,7.4,64
S45,24.9,19.1,65
S46,36.7,9.4,66
S47,18.9,10.0,67
S48,45.3,15.8,68
S49,1.8,23.7,69
S50,33.7,20.8,70
S51,41.3,15.5,71
S52,33.7,38.3,72
S53,39.6,43.8,73
S54,32.9,43.4,74
S55,36.9,32.9,75
S56,36.3,37.3,76
S57,18.2,11.7,77
S58,28.8,45.2,78
S59,31.2,41.9,79
S60,13.7,10.1,80
S61,29.2,3.0,81
S62,41.8,12.7,82
S63,16.3,36.9,83
S64,20.0,27.2,84
S65,29.2,45.8,85
S66,15.9,27.3,86
S67,19.5,42.0,87
S68,18.7,34.6,88
S69,38.2,31.7,89
S70,38.0,45.2,90
S71,18.8,18.5,91
S72,16.9,15.7,92
S73,0.05,27.9,93
S74,20.9,20.3,94
S75,35.5,45.3,95
S76,20.1,19.5,96
S77,26.0,9.5,97
S78,0.05,30.5,98
S79,49.95,46.9,99
S80,48.0,39.7,100
S81,1.4,33.1,101
S82,22.7,49.95,102
S83,1.7,23.3,103
S84,22.7,10.7,104
S85,33.0,21.8,105
S86,27.2,21.8,106
S87,23.2,21.5,107
S88,12.6,8.7,108
S89,45.2,49.7,109
S90,14.7,18.2,110
S91,16.0,17.8,111
S92,35.6,12.6,112
S93,20.4,39.8,113
S94,18.9,16.8,114
S95,10.0,31.9,115
S96,10.6,37.9,116
S97,34.4,19.8,117
S98,38.4,36.3,118
S99,22.8,6.6,119
S100,16.4,32.3,120
S101,39.6,15.2,121
S102,49.95,9.4,122
S103,7.1,20.0,123
S104,17.5,18.9,124
S105,10.9,24.2,125
S106,22.6,36.5,126
S107,33.0,13.4,127
S108,4.0,32.5,128
S109,9.4,29.6,129
S110,31.1,24.0,130
S111,33.2,22.4,131
S112,46.0,47.4,132
S113,20.5,44.0,133
S114,32.3,23.0,134
S115,28.9,23.9,135
S116,42.3,25.4,136
S117,43.1,11.7,137
S118,9.7,40.1,138
S119,14.0,15.6,139
S120,23.0,15.7,140
S121,30.7,11.0,141
S122,20.6,28.7,142
S123,21.7,38.6,143
S124,43.8,42.7,144
S125,2.2,23.0,145
S126,26.4,39.4,146
S127,48.7,20.1,147
S128,49.95,9.7,148
