Comment,S20 D20 X3(2) 75% cover_123
Site, X, Y, Vertex
X0,4.2,3.5,0
X1,6.3,7.8,1
X2,7.3,4.7,2
Supplier, X, Y, Vertex
S0,7.4,4.4,3
S1,6.7,5.0,4
S2,9.5,4.4,5
S3,2.3,5.2,6
S4,6.7,8.5,7
S5,7.2,8.0,8
S6,6.6,6.0,9
S7,6.3,4.2,10
S8,4.1,2.8,11
S9,7.1,8.6,12
S10,4.7,1.7,13
S11,3.2,2.9,14
S12,9.9,4.7,15
S13,9.95,6.1,16
S14,4.7,3.9,17
S15,7.6,7.7,18
S16,5.1,3.7,19
S17,2.4,3.5,20
S18,7.5,3.0,21
S19,7.5,7.7,22
Destination, X, Y, Vertex
D0,6.5,3.5,23
D1,5.8,7.4,24
D2,5.1,7.3,25
D3,5.9,7.4,26
D4,6.5,4.0,27
D5,5.9,4.1,28
D6,5.1,3.6,29
D7,5.2,3.4,30
D8,6.3,5.9,31
D9,7.5,5.2,32
D10,7.3,7.2,33
D11,6.8,5.5,34
D12,6.7,5.4,35
D13,4.4,8.1,36
D14,6.6,6.8,37
D15,6.4,4.3,38
D16,8.3,3.5,39
D17,4.4,9.1,40
D18,5.2,4.2,41
D19,7.1,5.0,42
Order, To, Qty, ect, ldt,
S11,D8,2,0,900,0
S0,D2,1,0,900,1
S19,D12,3,0,900,2
S17,D2,3,0,900,3
S0,X0,2,0,900,4
S3,D3,1,0,900,5
S6,D3,1,0,900,6
S14,D10,1,0,900,7
S10,D10,3,0,900,8
S0,D14,2,0,900,9
S7,D15,2,0,900,10
S14,D7,1,0,900,11
S13,D3,2,0,900,12
S12,D14,1,0,900,13
S1,D7,3,0,900,14
S4,X0,3,0,900,15
S2,D13,3,0,900,16
S4,D18,1,0,900,17
S10,D16,3,0,900,18
S11,D17,1,0,900,19
S9,D1,2,0,900,20
S5,D11,2,0,900,21
S16,D15,2,0,900,22
S14,D5,2,0,900,23
S1,D4,2,0,900,24
S7,D19,3,0,900,25
S13,D17,1,0,900,26
S12,D19,3,0,900,27
S19,D19,3,0,900,28
S7,D11,2,0,900,29
S18,D0,1,0,900,30
S1,D0,1,0,900,31
S8,D6,1,0,900,32
S4,D4,1,0,900,33
S2,D4,2,0,900,34
S6,D9,2,0,900,35
S0,D11,3,0,900,36
S16,X0,1,0,900,37
S7,D0,2,0,900,38
S18,D1,3,0,900,39
S3,D13,1,0,900,40
S9,D3,2,0,900,41
S6,D12,3,0,900,42
S10,D12,2,0,900,43
S12,D3,1,0,900,44
S11,D6,1,0,900,45
S17,D7,1,0,900,46
S15,X0,2,0,900,47
S13,D13,1,0,900,48
S1,D15,1,0,900,49
S18,D11,3,0,900,50
S3,D18,2,0,900,51
S8,X2,1,0,900,52
S6,D7,1,0,900,53
S5,D3,1,0,900,54
S4,D14,1,0,900,55
S14,D4,3,0,900,56
S10,D2,1,0,900,57
S15,D6,3,0,900,58
S14,X2,2,0,900,59
S0,D5,2,0,900,60
S1,X2,1,0,900,61
S8,D16,1,0,900,62
S3,D17,1,0,900,63
S9,D19,1,0,900,64
S11,D9,1,0,900,65
S15,D15,2,0,900,66
S6,D14,2,0,900,67
S13,D4,2,0,900,68
S12,D2,1,0,900,69
S4,D16,1,0,900,70
S5,D17,3,0,900,71
S3,D1,1,0,900,72
S16,D8,2,0,900,73
S6,D10,1,0,900,74
S2,D2,1,0,900,75
S2,X2,3,0,900,76
S16,D18,2,0,900,77
S10,D1,1,0,900,78
S17,D17,2,0,900,79
S7,D16,1,0,900,80
S12,D15,1,0,900,81
S17,D11,2,0,900,82
S13,D10,3,0,900,83
S18,D10,1,0,900,84
S0,D6,2,0,900,85
S10,D8,3,0,900,86
S9,D7,3,0,900,87
S6,D13,1,0,900,88
S5,D13,2,0,900,89
S10,D13,1,0,900,90
S16,D5,2,0,900,91
S12,D18,2,0,900,92
S19,D0,2,0,900,93
S0,D1,3,0,900,94
S16,D11,2,0,900,95
S14,D17,2,0,900,96
S19,D17,1,0,900,97
S18,D19,2,0,900,98
S15,D18,2,0,900,99
S1,D5,1,0,900,100
S8,D9,2,0,900,101
S4,D6,2,0,900,102
S4,D12,3,0,900,103
S8,D2,1,0,900,104
S9,D14,3,0,900,105
S15,D10,3,0,900,106
S19,X0,3,0,900,107
S17,D9,1,0,900,108
S2,D1,3,0,900,109
S18,D16,2,0,900,110
S8,D8,2,0,900,111
S9,X0,1,0,900,112
S3,D15,3,0,900,113
S4,D2,2,0,900,114
S16,D4,3,0,900,115
S14,D8,3,0,900,116
S13,D7,2,0,900,117
S15,D14,2,0,900,118
S17,D6,3,0,900,119
S2,D0,1,0,900,120
S9,D18,1,0,900,121
S5,D5,2,0,900,122
Exit,
