Comment,S25 D25 X4(2) 75% cover_150
Site, X, Y, Vertex
X0,4.0,5.5,0
X1,6.2,4.5,1
X2,7.3,7.3,2
X3,1.6,3.8,3
Supplier, X, Y, Vertex
S0,6.5,5.8,4
S1,7.5,5.9,5
S2,8.2,7.8,6
S3,7.0,3.4,7
S4,6.0,5.5,8
S5,4.2,5.5,9
S6,7.5,7.9,10
S7,5.3,4.7,11
S8,4.7,4.6,12
S9,6.7,3.8,13
S10,0.8,5.1,14
S11,5.1,4.6,15
S12,6.7,4.4,16
S13,5.7,4.5,17
S14,2.3,4.3,18
S15,3.8,7.3,19
S16,4.1,5.9,20
S17,7.6,7.5,21
S18,4.2,5.2,22
S19,5.2,6.2,23
S20,4.1,4.2,24
S21,7.4,4.8,25
S22,6.2,8.6,26
S23,2.7,5.5,27
S24,5.4,3.6,28
Destination, X, Y, Vertex
D0,5.8,5.5,29
D1,0.9,2.1,30
D2,6.3,3.5,31
D3,7.0,6.9,32
D4,2.3,5.1,33
D5,5.3,4.4,34
D6,7.5,4.7,35
D7,2.4,3.9,36
D8,1.8,3.3,37
D9,2.7,6.6,38
D10,1.9,1.5,39
D11,2.8,4.8,40
D12,4.6,6.5,41
D13,3.8,4.4,42
D14,3.4,4.4,43
D15,6.2,4.9,44
D16,2.1,4.3,45
D17,4.3,5.4,46
D18,4.7,6.7,47
D19,6.4,4.6,48
D20,5.1,4.9,49
D21,6.8,6.3,50
D22,6.9,3.2,51
D23,0.5,4.4,52
D24,1.5,3.5,53
Order, To, Qty, ect, ldt,
S7,D0,2,0,900,0
S14,D23,2,0,900,1
S6,D19,2,0,900,2
S0,D15,2,0,900,3
S12,D18,2,0,900,4
S7,D10,3,0,900,5
S24,X0,2,0,900,6
S22,D16,1,0,900,7
S21,D24,3,0,900,8
S23,D21,2,0,900,9
S4,D7,3,0,900,10
S8,D13,2,0,900,11
S4,D16,1,0,900,12
S11,D8,3,0,900,13
S16,D0,2,0,900,14
S11,D4,3,0,900,15
S19,D17,3,0,900,16
S17,D3,1,0,900,17
S10,D11,1,0,900,18
S20,D19,1,0,900,19
S16,D10,3,0,900,20
S23,D10,3,0,900,21
S4,D14,1,0,900,22
S2,D24,3,0,900,23
S19,D13,3,0,900,24
S11,D7,1,0,900,25
S9,D5,1,0,900,26
S12,D2,3,0,900,27
S19,D9,2,0,900,28
S11,D22,2,0,900,29
S13,D14,3,0,900,30
S20,D17,2,0,900,31
S12,D4,1,0,900,32
S0,D20,1,0,900,33
S21,D6,1,0,900,34
S22,D18,1,0,900,35
S3,D20,1,0,900,36
S9,D19,3,0,900,37
S1,D22,2,0,900,38
S7,D22,3,0,900,39
S16,D5,3,0,900,40
S15,D9,2,0,900,41
S20,D0,2,0,900,42
S13,D9,1,0,900,43
S1,D12,2,0,900,44
S18,D6,3,0,900,45
S2,D20,1,0,900,46
S16,D21,2,0,900,47
S14,D4,2,0,900,48
S17,D24,3,0,900,49
S14,D8,2,0,900,50
S18,D8,1,0,900,51
S0,D13,3,0,900,52
S24,D8,1,0,900,53
S2,X3,1,0,900,54
S4,D20,3,0,900,55
S9,D21,1,0,900,56
S6,X0,2,0,900,57
S5,X0,1,0,900,58
S9,D15,3,0,900,59
S15,D14,1,0,900,60
S11,D12,1,0,900,61
S18,D24,1,0,900,62
S13,D16,1,0,900,63
S2,D13,3,0,900,64
S23,D13,1,0,900,65
S5,D14,1,0,900,66
S4,D24,1,0,900,67
S3,D4,3,0,900,68
S9,D3,2,0,900,69
S24,D10,2,0,900,70
S6,D15,1,0,900,71
S14,D18,3,0,900,72
S11,D15,3,0,900,73
S10,D15,3,0,900,74
S17,D18,2,0,900,75
S7,D23,2,0,900,76
S21,D23,3,0,900,77
S12,X3,1,0,900,78
S18,D2,2,0,900,79
S23,D11,3,0,900,80
S13,D4,1,0,900,81
S4,D1,3,0,900,82
S3,D7,2,0,900,83
S8,D7,1,0,900,84
S19,D4,2,0,900,85
S10,D12,2,0,900,86
S9,D11,2,0,900,87
S7,D2,1,0,900,88
S19,D2,3,0,900,89
S8,D14,1,0,900,90
S5,D7,1,0,900,91
S6,D6,2,0,900,92
S14,X3,3,0,900,93
S24,D16,1,0,900,94
S12,D17,3,0,900,95
S1,X3,2,0,900,96
S20,D20,3,0,900,97
S1,X0,1,0,900,98
S18,D23,3,0,900,99
S22,X0,3,0,900,100
S21,X0,1,0,900,101
S2,D0,3,0,900,102
S8,D12,1,0,900,103
S10,D8,1,0,900,104
S16,D8,2,0,900,105
S19,D5,3,0,900,106
S0,D16,2,0,900,107
S24,D5,1,0,900,108
S14,D21,2,0,900,109
S20,D2,3,0,900,110
S22,D11,3,0,900,111
S0,D19,1,0,900,112
