Comment,S5 D5 X2(2) 75% cover_27
Site, X, Y, Vertex
X0,4.2,2.8,0
X1,7.6,4.8,1
Supplier, X, Y, Vertex
S0,2.5,3.2,2
S1,7.7,6.0,3
S2,8.1,5.0,4
S3,4.4,3.9,5
S4,4.9,2.4,6
Destination, X, Y, Vertex
D0,6.7,4.0,7
D1,6.9,4.7,8
D2,5.1,1.5,9
D3,6.6,3.8,10
D4,9.7,5.5,11
Order, To, Qty, ect, ldt,
S1,D3,3,0,900,0
S3,D0,3,0,900,1
S0,X0,1,0,900,2
S2,D4,2,0,900,3
S1,X1,1,0,900,4
S2,D2,3,0,900,5
S0,D3,2,0,900,6
S4,D0,3,0,900,7
S1,X0,3,0,900,8
S4,D1,1,0,900,9
S1,D2,1,0,900,10
S1,D4,2,0,900,11
S3,X0,2,0,900,12
S2,X1,2,0,900,13
S0,D0,2,0,900,14
S1,D1,2,0,900,15
S0,D2,2,0,900,16
S2,D3,1,0,900,17
S4,X0,1,0,900,18
S1,D0,2,0,900,19
S3,D2,2,0,900,20
S4,X1,3,0,900,21
S3,D4,2,0,900,22
S0,X1,3,0,900,23
S4,D3,3,0,900,24
S3,D1,1,0,900,25
S2,D1,3,0,900,26
Exit,
