Comment,S=3_D=2_X=2(0)_4
Site, X, Y, Vertex
X0,4.0,2.4,0
X1,8.0,8.0,1
Supplier, X, Y, Vertex
S0,8.5,9.7,2
S1,7.5,6.4,3
S2,1.3,1.0,4
Destination, X, Y, Vertex
D0,5.6,3.9,5
D1,5.1,2.4,6
Order, To, Qty, ect, ldt,
S0,D1,2,0,600,0
S2,D0,1,0,600,1
S1,D0,1,0,600,2
S1,D1,2,0,600,3
Routes
route0,"[X1,X0,X0,D1,D0,X1]"
route1,"[X0,D0,S1,D1,X0]"
route2,"[X1,S0,D1,X1]"
route3,"[X0,D0,S0,D0,X0]"
route4,"[X1,D1,D0,S1,X1]"
route5,"[X0,S2,S0,X1,X1,S1,X0]"
route6,"[X0,D1,D0,S0,D0,X0]"
route7,"[X0,D0,S0,X0]"
route8,"[X1,S1,X0,X0,S2,X1]"
route9,"[X1,D0,D1,S2,D1,X1]"
route10,"[X0,X1,X1,S1,X0]"
route11,"[X1,D0,S2,X1]"
route12,"[X0,D0,D1,X0]"
route13,"[X1,D0,D1,X1]"
route14,"[X1,D0,D1,S2,D1,S1,X1]"
route15,"[X1,S1,D0,D1,S1,X1]"
route16,"[X0,D1,D0,S1,X1,X1,S0,S2,X0]"
route17,"[X0,D0,S0,S1,D0,D1,X0]"
route18,"[X1,D0,D1,S2,D0,X1]"
route19,"[X1,D0,D1,X0,X0,D1,D0,S1,X1]"
route20,"[X1,S0,S1,D0,D1,X0,X0,S2,X1]"
route21,"[X0,S2,D1,X0]"
route22,"[X1,D0,D1,X0,X0,D1,D0,X1]"
route23,"[X0,S2,X0]"
route24,"[X1,D0,X0,X0,D1,X0,X0,S1,X1]"
route25,"[X0,D1,S2,X1,X1,S1,X0]"
route26,"[X1,D0,X1]"
route27,"[X0,D0,X1,X1,X0]"
route28,"[X0,S1,D1,X0]"
route29,"[X1,S0,D1,X0,X0,S1,X1]"
route30,"[X1,S1,D0,D1,X0,X0,S1,X1]"
route31,"[X0,D1,D0,S0,D1,X0]"
route32,"[X1,D0,S1,X1]"
route33,"[X1,D0,D1,X0,X0,S1,X1]"
route34,"[X1,D1,X0,X0,S1,X1]"
route35,"[X0,D1,D0,S1,D1,X0]"
route36,"[X1,S1,X1]"
route37,"[X0,S1,S0,X0]"
route38,"[X1,S0,S1,D1,X1]"
route39,"[X1,D0,X0,X0,D1,D0,X1]"
route40,"[X0,S0,D1,X0]"
route41,"[X0,D1,D0,S1,X1,X1,X0]"
route42,"[X1,D0,D1,S2,D1,X0,X0,S1,X1]"
route43,"[X0,D1,D0,X1,X1,X0]"
route44,"[X1,S0,S1,D0,D1,X1]"
route45,"[X1,S2,D0,S1,X1]"
route46,"[X1,S0,D0,S1,X1]"
route47,"[X1,S1,D0,S1,X1]"
route48,"[X0,D1,D0,S1,X0]"
route49,"[X1,D0,X0,X0,X1]"
route50,"[X1,S1,X0,X0,X1]"
